Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
2014-08-03,1263,130,51,74,41,36,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-03
2014-08-04,1762,207,76,101,43,36,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-04
2014-08-05,1750,179,76,88,41,39,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-05
2014-08-06,2350,289,99,85,48,37,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-06
2014-08-07,1690,172,46,55,52,31,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-07
2014-08-08,1804,182,71,61,45,40,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-08
2014-08-09,1755,178,103,41,39,51,9,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-09
2014-08-10,2881,286,100,91,48,37,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-10
2014-08-11,2465,257,100,90,45,39,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-11
2014-08-12,2467,396,65,74,64,24,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-12
2014-08-13,1817,194,91,50,43,46,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-13
2014-08-14,1700,165,99,54,37,50,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-14
2014-08-15,2150,216,106,73,41,45,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-15
2014-08-16,1380,71,72,39,26,60,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-16
2014-08-17,1804,154,84,84,36,44,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-17
2014-08-18,1992,265,88,67,50,37,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-18
2014-08-19,1630,192,65,64,48,36,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-19
2014-08-20,1939,160,77,111,36,39,25,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-20
2014-08-21,1659,228,45,54,59,26,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-21
2014-08-22,1994,217,80,67,47,39,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-22
2014-08-23,2130,28,49,49,15,59,26,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-23
2014-08-24,1840,194,104,70,39,47,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-24
2014-08-25,2004,266,86,73,50,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-25
2014-08-26,1970,225,98,79,43,42,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-26
2014-08-27,1658,188,77,62,44,41,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-27
2014-08-28,1881,201,90,73,42,42,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-28
2014-08-29,3574,416,147,124,48,38,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-29
2014-08-30,1955,193,62,83,46,34,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-30
2014-08-31,1896,209,84,57,46,42,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-08-31
2014-09-01,1661,171,86,62,40,45,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-09-01
2014-09-02,1867,146,84,150,30,39,31,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-09-02
2014-09-03,1883,173,96,74,37,47,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-09-03
2014-12-13,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-13
2014-12-14,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-14
2014-12-15,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-15
2014-12-16,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-16
2014-12-17,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-17
2014-12-18,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-18
2014-12-19,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-19
2014-12-20,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-20
2014-12-21,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-21
2014-12-22,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-22
2014-12-23,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-23
2014-12-24,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-24
2014-12-25,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-25
2014-12-26,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-26
2014-12-27,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-27
2014-12-28,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-28
2014-12-29,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-29
2014-12-30,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-30
2014-12-31,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2014-12-31
2015-01-01,1753,255,52,53,60,28,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-01
