
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1962-8-1,100,88,75,72,66,63,84,52,31,30.05,29.99,29.89,15,15,15,14,8,,0.00,0,,181
1962-8-2,97,86,75,73,67,62,90,57,32,30.05,29.98,29.90,15,15,10,12,9,,0.00,0,,159
1962-8-3,99,87,75,72,66,59,87,52,28,29.99,29.93,29.85,15,15,15,17,9,,0.00,0,,176
1962-8-4,102,88,75,72,66,55,87,54,21,29.97,29.92,29.84,15,15,15,16,12,,0.00,0,,177
1962-8-5,100,88,77,73,68,61,84,56,28,29.99,29.93,29.87,15,15,15,18,12,,0.00,0,,179
1962-8-6,100,88,77,74,69,60,90,58,27,30.02,29.96,29.89,15,14,10,16,11,,0.00,0,,177
1962-8-7,100,88,77,74,67,57,90,56,25,30.02,29.96,29.88,15,14,10,13,10,,0.00,0,,170
1962-8-8,100,88,75,73,63,53,88,48,20,30.01,29.94,29.87,15,15,15,12,8,,0.00,0,,185
1962-8-9,104,90,75,66,60,54,69,39,20,29.98,29.92,29.84,15,15,15,12,5,,0.00,0,,191
1962-8-10,102,91,80,67,62,56,62,39,21,29.97,29.92,29.84,15,15,15,17,7,,0.00,0,,165
1962-8-11,102,90,77,67,63,58,71,42,23,30.00,29.95,29.90,15,14,10,12,7,,0.00,0,,187
1962-8-12,104,91,78,67,60,56,68,37,21,30.00,29.94,29.86,15,14,10,9,6,,0.00,0,,203
1962-8-13,102,92,81,64,59,50,56,36,20,29.98,29.92,29.87,15,14,10,17,8,,0.00,0,,8
1962-8-14,97,88,79,60,57,51,47,35,26,30.04,29.98,29.92,15,15,15,16,9,,0.00,,,49
1962-8-15,98,86,73,68,61,56,64,47,24,30.03,29.98,29.92,15,15,10,20,7,,0.00,0,,71
1962-8-16,98,84,70,66,61,54,79,49,25,30.06,30.00,29.90,15,14,10,15,4,,0.00,0,,99
1962-8-17,98,86,73,67,60,53,73,45,23,30.03,29.97,29.89,15,15,15,16,5,,0.00,0,,81
1962-8-18,99,86,73,65,59,53,66,41,22,29.99,29.94,29.88,15,14,10,10,6,,0.00,0,,164
1962-8-19,98,86,75,73,66,56,87,55,26,30.04,29.97,29.90,15,15,10,16,8,,0.00,0,,166
1962-8-20,96,86,75,73,68,57,91,60,27,30.06,30.00,29.92,15,14,10,13,7,,0.00,0,,168
1962-8-21,96,84,73,72,67,60,82,58,30,30.04,29.98,29.88,15,15,15,12,6,,0.00,0,,171
1962-8-22,96,86,75,71,67,61,87,59,31,29.97,29.91,29.81,15,15,15,16,6,,0.00,0,,174
1962-8-23,97,86,75,73,69,62,91,59,32,29.96,29.91,29.83,15,15,15,14,8,,0.00,0,,175
1962-8-24,99,88,78,73,68,63,81,55,30,29.97,29.91,29.82,15,15,10,12,8,,0.00,0,,176
1962-8-25,87,79,71,72,70,66,97,76,49,30.06,30.02,29.95,15,12,1,28,10,,4.55,,Rain-Thunderstorm,16
1962-8-26,90,81,72,68,65,62,73,59,42,30.05,29.99,29.90,15,15,15,15,10,,0.00,0,,29
1962-8-27,91,82,72,69,64,60,76,57,35,29.99,29.93,29.85,15,13,10,14,7,,0.00,0,,40
1962-8-28,93,83,73,72,69,67,90,66,42,29.89,29.84,29.76,15,12,8,13,4,,0.00,0,,106
1962-8-29,91,82,73,73,70,66,91,68,42,29.88,29.82,29.77,15,14,10,9,5,,0.00,0,,121
1962-8-30,95,86,78,76,72,66,93,65,38,29.88,29.82,29.75,15,14,10,18,10,,0.02,0,,169
1962-8-31,97,88,78,75,72,64,90,65,35,29.92,29.86,29.79,15,14,10,18,10,,0.01,0,Rain,168
