
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1973-10-1,86,78,69,72,70,67,96,78,59,30.06,29.98,29.94,15,14,10,13,5,,0.00,4,,110
1973-10-2,90,82,73,74,72,69,100,79,52,30.08,30.01,29.95,15,10,1,14,6,,0.00,4,Fog,178
1973-10-3,90,82,73,74,71,68,100,77,48,30.02,29.96,29.89,15,12,7,12,7,,0.00,4,,181
1973-10-4,82,76,70,75,72,67,100,90,67,30.14,30.01,29.93,15,10,0,18,7,,1.74,7,Fog-Rain-Thunderstorm,132
1973-10-5,75,70,66,70,67,62,100,88,79,30.17,30.11,30.05,15,12,7,21,10,28,0.38,8,Rain,32
1973-10-6,82,76,70,74,71,69,100,87,67,30.14,30.07,30.00,15,8,3,8,6,,0.03,6,Fog-Rain,70
1973-10-7,87,80,72,74,72,70,100,83,59,30.08,30.01,29.92,15,8,0,14,7,,0.00,5,Fog,191
1973-10-8,84,76,69,73,70,67,100,82,55,30.01,29.94,29.84,15,8,0,15,6,,0.01,4,Fog,172
1973-10-9,88,80,71,74,72,70,100,81,55,29.90,29.83,29.73,15,9,1,16,9,22,0.00,5,Fog,170
1973-10-10,87,82,77,77,74,71,96,82,61,29.80,29.75,29.68,15,11,7,18,13,29,0.10,6,Rain,168
1973-10-11,79,72,66,75,70,66,100,93,81,29.87,29.78,29.68,15,10,0,17,11,21,4.64,7,Rain-Thunderstorm,72
1973-10-12,82,74,66,72,69,66,100,90,65,29.93,29.87,29.80,15,8,0,15,8,,0.14,7,Fog-Rain,113
1973-10-13,73,68,64,71,65,64,100,89,76,30.14,30.00,29.87,15,12,1,23,9,28,1.13,8,Fog-Rain,54
1973-10-14,69,68,66,67,66,65,97,93,87,30.22,30.17,30.12,15,9,4,14,9,,0.41,8,Fog-Rain,31
1973-10-15,68,67,66,67,66,65,100,96,93,30.19,30.11,30.05,10,8,3,9,7,,1.18,8,Fog-Rain,13
1973-10-16,75,70,64,67,64,61,100,84,64,30.14,30.08,30.05,15,10,4,18,10,26,0.09,6,Fog-Rain,14
1973-10-17,73,65,57,61,52,46,90,65,37,30.26,30.20,30.15,15,15,15,16,12,,0.00,3,,31
1973-10-18,75,62,48,53,47,44,90,60,34,30.30,30.24,30.20,15,14,10,9,7,,0.00,0,,35
1973-10-19,79,65,51,54,49,44,97,62,29,30.21,30.16,30.09,15,15,10,7,5,,0.10,0,,287
1973-10-20,80,66,52,55,50,46,86,60,32,30.15,30.09,30.03,15,13,10,7,3,,0.38,0,,151
1973-10-21,79,66,53,55,52,49,90,64,38,30.14,30.08,30.04,15,14,10,7,3,,0.56,0,,214
1973-10-22,80,68,55,59,54,51,89,65,36,30.19,30.14,30.11,15,12,7,7,3,,0.14,0,,2
1973-10-23,80,68,55,56,53,49,93,64,34,30.17,30.10,30.02,15,14,8,8,5,,0.00,0,,233
1973-10-24,80,68,55,63,58,52,90,73,50,30.03,29.97,29.90,10,8,5,14,5,,0.34,1,,197
1973-10-25,81,72,62,68,65,62,100,84,58,30.06,29.99,29.93,15,7,0,9,4,,0.59,5,Fog,119
1973-10-26,81,74,66,71,68,66,100,87,65,30.02,29.96,29.89,10,7,0,14,5,,0.24,6,Fog-Rain,163
1973-10-27,77,70,63,69,65,57,100,87,68,30.14,30.01,29.94,15,6,1,18,7,,0.75,6,Fog-Rain-Thunderstorm,80
1973-10-28,75,64,53,56,50,40,93,65,29,30.24,30.17,30.12,15,15,10,13,8,,0.00,3,,357
1973-10-29,73,62,50,55,48,43,83,65,42,30.22,30.11,29.99,15,15,15,13,8,,0.50,1,,123
1973-10-30,72,66,59,70,63,56,100,93,86,29.97,29.79,29.62,15,9,4,31,8,43,0.24,7,Fog-Rain,185
1973-10-31,73,63,53,59,48,43,96,63,34,29.94,29.85,29.71,15,15,10,17,8,,0.00,1,,323
