City,AustinTime,AustinDist,HoustonTime,HoustonDist
taylor,2541,42 mins,8821,2 hours 27 mins
hennessey,16024,4 hours 27 mins,17501,4 hours 52 mins
dacus,9393,2 hours 37 mins,4416,1 hour 14 mins
houston,9515,2 hours 39 mins,0,1 min
lajitas,29057,8 hours 4 mins,36171,10 hours 3 mins
roman forest,11001,3 hours 3 mins,2145,36 mins
ottine,3876,1 hour 5 mins,7576,2 hours 6 mins
leakey,10489,2 hours 55 mins,15985,4 hours 26 mins
panther junction,26053,7 hours 14 mins,33168,9 hours 13 mins
daingerfield,18087,5 hours 1 min,15394,4 hours 17 mins
austin,0,1 min,9474,2 hours 38 mins
rockport,12265,3 hours 24 mins,10883,3 hours 1 min
terlingua,27846,7 hours 44 mins,34960,9 hours 43 mins
rose hill,8588,2 hours 23 mins,2362,39 mins
rio grande village,28037,7 hours 47 mins,35152,9 hours 46 mins
persimmon gap,5426,1 hour 30 mins,11016,3 hours 4 mins
johnson city,3299,55 mins,11887,3 hours 18 mins
odom,12746,3 hours 32 mins,12699,3 hours 32 mins
waco,6048,1 hour 41 mins,10834,3 hours 1 min
fort davis,23049,6 hours 24 mins,30163,8 hours 23 mins
brackettville,11825,3 hours 17 mins,17321,4 hours 49 mins
canyon,27153,7 hours 33 mins,33293,9 hours 15 mins
liberty hill,2424,40 mins,10915,3 hours 2 mins
salt flat,27866,7 hours 44 mins,34980,9 hours 43 mins
boerne,5590,1 hour 33 mins,11901,3 hours 18 mins
castolon,29362,8 hours 9 mins,36477,10 hours 8 mins
jasper,16810,4 hours 40 mins,7954,2 hours 13 mins
barker,8339,2 hours 19 mins,1379,23 mins
newark,11902,3 hours 18 mins,15404,4 hours 17 mins
odessa,20086,5 hours 35 mins,27201,7 hours 33 mins
sheldon,10581,2 hours 56 mins,1276,21 mins
lake jackson farms,11871,3 hours 18 mins,3126,52 mins
del rio,13649,3 hours 47 mins,19145,5 hours 19 mins
san antonio,4711,1 hour 19 mins,10359,2 hours 53 mins
austwell,10519,2 hours 55 mins,9197,2 hours 33 mins
hill city,10448,2 hours 54 mins,13702,3 hours 48 mins
smithville,3188,53 mins,6569,1 hour 49 mins
plano,12040,3 hours 21 mins,13517,3 hours 45 mins
harlingen,17408,4 hours 50 mins,18118,5 hours 2 mins
manchaca,1028,17 mins,9583,2 hours 40 mins
quitaque,24433,6 hours 47 mins,29079,8 hours 5 mins
marathon,21843,6 hours 4 mins,28958,8 hours 3 mins
tyler,14385,4 hours 0 mins,12423,3 hours 27 mins
new braunfels,2883,48 mins,9459,2 hours 38 mins
helotes,5169,1 hour 26 mins,11481,3 hours 11 mins
falcon heights,17615,4 hours 54 mins,21073,5 hours 51 mins
bandera,6936,1 hour 56 mins,13248,3 hours 41 mins
lufkin,14140,3 hours 56 mins,7110,1 hour 59 mins
burnet,3605,1 hour 0 mins,12096,3 hours 22 mins
sargent,11839,3 hours 17 mins,4720,1 hour 19 mins
