Date,Weight,Body Fat,Lean Mass,Sleep Minutes,Sleep Time,Fell Asleep At,Steps,Calories Burned,Sedentary Minutes,Lightly Active Minutes,Fairly Active Minutes,Very Active Minutes
8/15/2014,0,0,0.0,0,0h 0m,"",6396,1716,1245,111,66,18
8/16/2014,0,0,0.0,512,8h 32m,01:51:00,12483,2066,598,146,76,53
8/17/2014,0,0,0.0,457,7h 37m,01:45:00,17110,2237,601,126,85,107
8/18/2014,0,0,0.0,318,5h 18m,03:31:00,12491,2063,815,119,66,59
8/19/2014,0,0,0.0,460,7h 40m,00:31:00,12817,2055,705,93,63,70
8/20/2014,0,0,0.0,410,6h 50m,01:50:00,7860,1754,792,86,67,34
8/21/2014,0,0,0.0,415,6h 55m,"",17022,2226,720,67,55,109
8/22/2014,0,0,0.0,433,7h 13m,01:43:00,8925,1825,743,104,63,45
8/23/2014,0,0,0.0,564,9h 24m,01:10:00,10557,1959,609,119,49,54
8/24/2014,0,0,0.0,365,6h 5m,01:14:00,6617,1773,765,149,84,10
8/25/2014,0,0,0.0,402,6h 42m,"",12704,2057,768,109,48,69
8/26/2014,0,0,0.0,446,7h 26m,00:51:00,10580,1968,723,114,60,47
8/27/2014,0,0,0.0,452,7h 32m,00:28:00,6397,1707,778,101,57,21
8/28/2014,0,0,0.0,452,7h 32m,00:28:00,7769,1788,727,109,73,31
8/29/2014,0,0,0.0,478,7h 58m,00:28:00,14111,2104,675,99,76,70
8/30/2014,0,0,0.0,634,10h 34m,00:41:00,13425,2087,485,110,47,81
8/31/2014,0,0,0.0,472,7h 52m,00:57:00,14653,2141,593,145,104,72
9/1/2014,0,0,0.0,704,11h 44m,01:03:00,13949,2083,428,119,48,81
9/2/2014,0,0,0.0,386,6h 26m,"",12855,2062,748,102,58,66
9/3/2014,0,0,0.0,401,6h 41m,01:31:00,10609,1890,810,84,45,71
9/4/2014,0,0,0.0,424,7h 4m,00:37:00,13823,2074,766,74,55,77
9/5/2014,0,0,0.0,435,7h 15m,01:34:00,10510,1915,758,126,61,60
9/6/2014,0,0,0.0,604,10h 4m,00:56:00,11318,2038,562,169,57,48
9/7/2014,0,0,0.0,580,9h 40m,01:11:00,17707,2218,574,93,68,125
9/8/2014,0,0,0.0,379,6h 19m,01:52:00,3676,1620,840,144,42,3
