Date,Minutes Asleep,Hours Asleep
8/15/2014,0,0h 0m
8/16/2014,512,8h 32m
8/17/2014,457,7h 37m
8/18/2014,318,5h 18m
8/19/2014,460,7h 40m
8/20/2014,410,6h 50m
8/21/2014,415,6h 55m
8/22/2014,433,7h 13m
8/23/2014,564,9h 24m
8/24/2014,365,6h 5m
8/25/2014,402,6h 42m
8/26/2014,446,7h 26m
8/27/2014,452,7h 32m
8/28/2014,452,7h 32m
8/29/2014,478,7h 58m
8/30/2014,634,10h 34m
8/31/2014,472,7h 52m
9/1/2014,704,11h 44m
9/2/2014,386,6h 26m
9/3/2014,401,6h 41m
9/4/2014,424,7h 4m
9/5/2014,435,7h 15m
9/6/2014,604,10h 4m
9/7/2014,580,9h 40m
9/8/2014,379,6h 19m
9/9/2014,418,6h 58m
9/10/2014,365,6h 5m
9/11/2014,419,6h 59m
9/12/2014,469,7h 49m
9/13/2014,459,7h 39m
9/14/2014,527,8h 47m
9/15/2014,0,0h 0m
9/16/2014,413,6h 53m
9/17/2014,422,7h 2m
9/18/2014,413,6h 53m
9/19/2014,442,7h 22m
9/20/2014,533,8h 53m
9/21/2014,412,6h 52m
9/22/2014,366,6h 6m
9/23/2014,331,5h 31m
9/24/2014,451,7h 31m
9/25/2014,487,8h 7m
9/26/2014,416,6h 56m
9/27/2014,466,7h 46m
9/28/2014,548,9h 8m
9/29/2014,345,5h 45m
9/30/2014,351,5h 51m
10/1/2014,378,6h 18m
10/2/2014,392,6h 32m
10/3/2014,419,6h 59m
10/4/2014,541,9h 1m
10/5/2014,493,8h 13m
10/6/2014,387,6h 27m
10/7/2014,411,6h 51m
10/8/2014,412,6h 52m
10/9/2014,498,8h 18m
10/10/2014,535,8h 55m
10/11/2014,462,7h 42m
10/12/2014,485,8h 5m
10/13/2014,444,7h 24m
10/14/2014,389,6h 29m
10/15/2014,470,7h 50m
10/16/2014,398,6h 38m
10/17/2014,369,6h 9m
10/18/2014,558,9h 18m
10/19/2014,493,8h 13m
10/20/2014,349,5h 49m
10/21/2014,377,6h 17m
10/22/2014,395,6h 35m
10/23/2014,441,7h 21m
10/24/2014,400,6h 40m
10/25/2014,514,8h 34m
10/26/2014,471,7h 51m
10/27/2014,388,6h 28m
10/28/2014,409,6h 49m
10/29/2014,363,6h 3m
10/30/2014,395,6h 35m
10/31/2014,374,6h 14m
11/1/2014,437,7h 17m
11/2/2014,0,0h 0m
11/3/2014,409,6h 49m
11/4/2014,303,5h 3m
11/5/2014,410,6h 50m
11/6/2014,433,7h 13m
11/7/2014,423,7h 3m
11/8/2014,452,7h 32m
11/9/2014,371,6h 11m
11/10/2014,385,6h 25m
11/11/2014,371,6h 11m
11/12/2014,403,6h 43m
11/13/2014,408,6h 48m
11/14/2014,416,6h 56m
11/15/2014,407,6h 47m
11/16/2014,396,6h 36m
11/17/2014,582,9h 42m
11/18/2014,467,7h 47m
11/19/2014,448,7h 28m
11/20/2014,436,7h 16m
11/21/2014,0,0h 0m
11/22/2014,0,0h 0m
11/23/2014,407,6h 47m
11/24/2014,423,7h 3m
11/25/2014,429,7h 9m
11/26/2014,381,6h 21m
11/27/2014,472,7h 52m
11/28/2014,504,8h 24m
11/29/2014,507,8h 27m
11/30/2014,459,7h 39m
12/1/2014,512,8h 32m
12/2/2014,435,7h 15m
12/3/2014,449,7h 29m
12/4/2014,450,7h 30m
12/5/2014,463,7h 43m
12/6/2014,386,6h 26m
12/7/2014,395,6h 35m
12/8/2014,425,7h 5m
12/9/2014,419,6h 59m
12/10/2014,398,6h 38m
12/11/2014,423,7h 3m
12/12/2014,393,6h 33m
12/13/2014,516,8h 36m
12/14/2014,403,6h 43m
12/15/2014,385,6h 25m
12/16/2014,463,7h 43m
12/17/2014,416,6h 56m
12/18/2014,530,8h 50m
12/19/2014,330,5h 30m
12/20/2014,0,0h 0m
12/21/2014,0,0h 0m
12/22/2014,536,8h 56m
12/23/2014,502,8h 22m
12/24/2014,0,0h 0m
12/25/2014,513,8h 33m
12/26/2014,488,8h 8m
12/27/2014,506,8h 26m
12/28/2014,434,7h 14m
12/29/2014,428,7h 8m
12/30/2014,390,6h 30m
12/31/2014,406,6h 46m
1/1/2015,0,0h 0m
1/2/2015,455,7h 35m
1/3/2015,421,7h 1m
1/4/2015,444,7h 24m
1/5/2015,418,6h 58m
1/6/2015,422,7h 2m
