Date,Weight,Bf%
8/15/2014,0,0
8/16/2014,0,0
8/17/2014,0,0
8/18/2014,0,0
8/19/2014,0,0
8/20/2014,0,0
8/21/2014,0,0
8/22/2014,0,0
8/23/2014,0,0
8/24/2014,0,0
8/25/2014,0,0
8/26/2014,0,0
8/27/2014,0,0
8/28/2014,0,0
8/29/2014,0,0
8/30/2014,0,0
8/31/2014,0,0
9/1/2014,0,0
9/2/2014,0,0
9/3/2014,0,0
9/4/2014,0,0
9/5/2014,0,0
9/6/2014,0,0
9/7/2014,0,0
9/8/2014,0,0
9/9/2014,0,0
9/10/2014,0,0
9/11/2014,0,0
9/12/2014,0,0
9/13/2014,0,0
9/14/2014,0,0
9/15/2014,0,0
9/16/2014,0,0
9/17/2014,0,0
9/18/2014,0,0
9/19/2014,0,0
9/20/2014,0,0
9/21/2014,0,0
9/22/2014,0,0
9/23/2014,0,0
9/24/2014,0,0
9/25/2014,0,0
9/26/2014,0,0
9/27/2014,0,0
9/28/2014,0,0
9/29/2014,0,0
9/30/2014,0,0
10/1/2014,0,0
10/2/2014,0,0
10/3/2014,0,0
10/4/2014,0,0
10/5/2014,0,0
10/6/2014,0,0
10/7/2014,0,0
10/8/2014,0,0
10/9/2014,0,0
10/10/2014,0,0
10/11/2014,0,0
10/12/2014,0,0
10/13/2014,0,0
10/14/2014,0,0
10/15/2014,0,0
10/16/2014,0,0
10/17/2014,0,0
10/18/2014,0,0
10/19/2014,0,0
10/20/2014,0,0
10/21/2014,0,0
10/22/2014,0,0
10/23/2014,0,0
10/24/2014,0,0
10/25/2014,0,0
10/26/2014,0,0
10/27/2014,0,0
10/28/2014,0,0
10/29/2014,0,0
10/30/2014,0,0
10/31/2014,0,0
11/1/2014,0,0
11/2/2014,0,0
11/3/2014,0,0
11/4/2014,0,0
11/5/2014,0,0
11/6/2014,0,0
11/7/2014,0,0
11/8/2014,0,0
11/9/2014,0,0
11/10/2014,0,0
11/11/2014,0,0
11/12/2014,0,0
11/13/2014,0,0
11/14/2014,0,0
11/15/2014,0,0
11/16/2014,0,0
11/17/2014,0,0
11/18/2014,0,0
11/19/2014,0,0
11/20/2014,0,0
11/21/2014,0,0
11/22/2014,0,0
11/23/2014,0,0
11/24/2014,0,0
11/25/2014,0,0
11/26/2014,0,0
11/27/2014,0,0
11/28/2014,0,0
11/29/2014,0,0
11/30/2014,0,0
12/1/2014,0,0
12/2/2014,0,0
12/3/2014,0,0
12/4/2014,0,0
12/5/2014,0,0
12/6/2014,0,0
12/7/2014,0,0
12/8/2014,0,0
12/9/2014,0,0
12/10/2014,0,0
12/11/2014,0,0
12/12/2014,116.9,17
12/13/2014,114.7,19.7
12/14/2014,117.4,18.6
12/15/2014,116.6,18.4
12/16/2014,115.6,17.3
12/17/2014,116.7,16.3
12/18/2014,116.8,16.8
12/19/2014,116,17.5
12/20/2014,115.8,17.6
12/21/2014,0,0
12/22/2014,0,0
12/23/2014,0,0
12/24/2014,0,0
12/25/2014,0,0
12/26/2014,0,0
12/27/2014,117.4,18.2
12/28/2014,115.4,20.7
12/29/2014,117.1,19.8
12/30/2014,116.4,19.7
12/31/2014,116.1,19.7
1/1/2015,115.8,19.7
1/2/2015,114.7,19.8
1/3/2015,114.7,19.7
1/4/2015,116.4,19.7
1/5/2015,116.4,19.7
1/6/2015,114.5,19.2
