
TimeCET,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:20 AM,57.2,51.8,82,29.95,3.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-11-02 23:20:00
12:50 AM,57.2,51.8,82,29.95,3.7,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-02 23:50:00
1:20 AM,55.4,51.8,88,29.95,3.1,Variable,2.3,-,N/A,,Mostly Cloudy,0,2013-11-03 00:20:00
1:50 AM,55.4,51.8,88,29.95,2.5,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 00:50:00
2:20 AM,55.4,51.8,88,29.92,2.5,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 01:20:00
2:50 AM,55.4,53.6,94,29.92,2.5,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 01:50:00
3:20 AM,55.4,53.6,94,29.89,2.5,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 02:20:00
3:50 AM,55.4,53.6,94,29.89,1.9,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 02:50:00
4:20 AM,55.4,53.6,94,29.89,1.9,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 03:20:00
4:50 AM,55.4,51.8,88,29.89,1.9,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 03:50:00
5:20 AM,55.4,51.8,88,29.86,1.9,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 04:20:00
5:50 AM,55.4,53.6,94,29.83,1.9,Variable,2.3,-,N/A,,Light Drizzle,0,2013-11-03 04:50:00
6:20 AM,55.4,51.8,88,29.83,1.9,NNE,4.6,-,N/A,,Light Drizzle,30,2013-11-03 05:20:00
6:50 AM,55.4,53.6,94,29.80,1.9,NE,4.6,-,N/A,,Light Drizzle,40,2013-11-03 05:50:00
7:20 AM,55.4,53.6,94,29.80,1.2,NE,6.9,-,N/A,,Mostly Cloudy,50,2013-11-03 06:20:00
7:50 AM,55.4,53.6,94,29.80,1.6,NNE,4.6,-,N/A,,Mostly Cloudy,30,2013-11-03 06:50:00
8:20 AM,55.4,53.6,94,29.80,1.6,Variable,3.5,-,N/A,,Mostly Cloudy,0,2013-11-03 07:20:00
8:50 AM,55.4,53.6,94,29.77,1.2,NE,5.8,-,N/A,Rain,Light Rain,40,2013-11-03 07:50:00
9:20 AM,55.4,53.6,94,29.77,1.2,North,4.6,-,N/A,Rain,Rain,350,2013-11-03 08:20:00
