
TimeCET,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:20 AM,59.0,59.0,100,29.50,6.2,SE,6.9,-,N/A,,Mostly Cloudy,130,2010-11-07 23:20:00
12:50 AM,59.0,57.2,94,29.47,6.2,SE,8.1,-,N/A,Rain,Light Rain,130,2010-11-07 23:50:00
1:00 AM,60,58,90,29.49,6,SE,11.5,,,,Partly Cloudy,130,2010-11-08 00:00:00
1:20 AM,59.0,57.2,94,29.47,6.2,ESE,10.4,-,N/A,Rain,Light Rain,120,2010-11-08 00:20:00
1:50 AM,59.0,57.2,94,29.47,6.2,SE,8.1,-,N/A,,Scattered Clouds,130,2010-11-08 00:50:00
2:20 AM,59.0,57.2,94,29.44,6.2,Variable,8.1,-,N/A,,Scattered Clouds,0,2010-11-08 01:20:00
2:50 AM,59.0,57.2,94,29.42,6.2,SE,10.4,-,N/A,,Scattered Clouds,140,2010-11-08 01:50:00
3:20 AM,59.0,57.2,94,29.42,6.2,South,5.8,-,N/A,,Scattered Clouds,170,2010-11-08 02:20:00
3:50 AM,60.8,59.0,94,29.42,6.2,SW,10.4,-,N/A,,Scattered Clouds,230,2010-11-08 02:50:00
4:00 AM,61,59,90,29.41,6,SW,8.1,,,,Partly Cloudy,230,2010-11-08 03:00:00
4:20 AM,60.8,59.0,94,29.39,6.2,SW,8.1,-,N/A,,Scattered Clouds,230,2010-11-08 03:20:00
4:50 AM,60.8,59.0,94,29.39,6.2,SW,4.6,-,N/A,,Scattered Clouds,230,2010-11-08 03:50:00
5:20 AM,60.8,59.0,94,29.39,6.2,SW,6.9,-,N/A,,Scattered Clouds,220,2010-11-08 04:20:00
5:50 AM,60.8,57.2,88,29.36,6.2,SW,6.9,-,N/A,,Scattered Clouds,230,2010-11-08 04:50:00
6:20 AM,62.6,57.2,82,29.36,6.2,SSW,6.9,-,N/A,,Scattered Clouds,200,2010-11-08 05:20:00
6:50 AM,62.6,57.2,82,29.33,6.2,SW,9.2,-,N/A,,Mostly Cloudy,220,2010-11-08 05:50:00
7:00 AM,63,58,78,29.35,9,SW,11.5,,,,Partly Cloudy,220,2010-11-08 06:00:00
7:20 AM,62.6,57.2,82,29.33,6.2,SW,13.8,-,N/A,,Mostly Cloudy,230,2010-11-08 06:20:00
7:50 AM,62.6,57.2,82,29.33,6.2,WSW,18.4,-,N/A,,Mostly Cloudy,240,2010-11-08 06:50:00
8:20 AM,60.8,57.2,88,29.33,6.2,WSW,11.5,-,N/A,,Scattered Clouds,250,2010-11-08 07:20:00
8:50 AM,62.6,55.4,77,29.33,6.2,WSW,11.5,-,N/A,,Partly Cloudy,250,2010-11-08 07:50:00
9:20 AM,62.6,55.4,77,29.33,6.2,WSW,12.7,-,N/A,,Partly Cloudy,240,2010-11-08 08:20:00
9:50 AM,62.6,55.4,77,29.33,6.2,WSW,13.8,-,N/A,,Scattered Clouds,240,2010-11-08 08:50:00
10:00 AM,62,56,73,29.32,9,WSW,13.8,,,Rain,Light Rain,240,2010-11-08 09:00:00
