
TimeCET,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:20 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-04 23:20:00
12:50 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-04 23:50:00
1:00 AM,46,45,96,30.44,9,North,1.2,,,,,10,2010-11-05 00:00:00
1:20 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 00:20:00
1:50 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 00:50:00
2:20 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 01:20:00
2:50 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 01:50:00
3:20 AM,48.2,46.4,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 02:20:00
3:50 AM,46.4,44.6,93,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 02:50:00
4:00 AM,46,45,96,30.43,6,North,1.2,,,,,0,2010-11-05 03:00:00
4:20 AM,44.6,44.6,100,30.39,0.3,Calm,Calm,-,N/A,Fog,Fog,0,2010-11-05 03:20:00
4:50 AM,44.6,44.6,100,30.39,0.7,Calm,Calm,-,N/A,Fog,Fog,0,2010-11-05 03:50:00
5:20 AM,42.8,42.8,100,30.39,4.3,ESE,1.2,-,N/A,Fog,Fog,120,2010-11-05 04:20:00
5:50 AM,44.6,44.6,100,30.39,4.3,Variable,2.3,-,N/A,Fog,Fog,0,2010-11-05 04:50:00
6:20 AM,44.6,42.8,93,30.39,6.2,Calm,Calm,-,N/A,Fog,Shallow Fog,0,2010-11-05 05:20:00
6:50 AM,44.6,42.8,93,30.39,4.3,Variable,1.2,-,N/A,Fog,Shallow Fog,0,2010-11-05 05:50:00
7:00 AM,43,42,97,30.42,4,South,1.2,,,Fog,Patches of Fog,170,2010-11-05 06:00:00
7:20 AM,42.8,42.8,100,30.39,6.2,Variable,1.2,-,N/A,Fog,Shallow Fog,0,2010-11-05 06:20:00
7:50 AM,44.6,44.6,100,30.42,6.2,Calm,Calm,-,N/A,Fog,Shallow Fog,0,2010-11-05 06:50:00
8:50 AM,50.0,50.0,100,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 07:50:00
9:20 AM,51.8,50.0,94,30.42,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 08:20:00
9:50 AM,53.6,51.8,94,30.42,-9999.0,Variable,1.2,-,N/A,,Clear,0,2010-11-05 08:50:00
10:00 AM,55,52,88,30.45,6,SE,1.2,,,,,140,2010-11-05 09:00:00
10:20 AM,55.4,51.8,88,30.45,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 09:20:00
10:50 AM,57.2,53.6,88,30.45,-9999.0,Calm,Calm,-,N/A,,Clear,0,2010-11-05 09:50:00
11:20 AM,59.0,51.8,77,30.42,-9999.0,Variable,1.2,-,N/A,,Clear,0,2010-11-05 10:20:00
11:50 AM,60.8,53.6,77,30.42,-9999.0,Variable,2.3,-,N/A,,Clear,0,2010-11-05 10:50:00
12:20 PM,62.6,51.8,68,30.39,-9999.0,Variable,2.3,-,N/A,,Clear,0,2010-11-05 11:20:00
12:50 PM,64.4,53.6,68,30.39,-9999.0,Variable,1.2,-,N/A,,Clear,0,2010-11-05 11:50:00
