date,ave_pace,temperature,humidity,combined
12/18/2013,12.75,58.5,54.5,112.75
12/20/2013,12.5,54.25,50.75,105
12/29/2013,12.5,52,53,105
12/31/2013,12,54.25,42.75,97
1/2/2014,12,57.25,40.25,97.5
1/5/2014,12,60.75,36,96.75
1/9/2014,12.25,61,34.5,95.5
1/13/2014,12.25,57.5,22.75,80.25
1/22/2014,12.5,59.5,28,87.5
1/25/2014,12.5,55.5,37,92.5
1/27/2014,12.5,50.25,48.75,99
1/29/2014,13.5,53.25,50.5,103.5
1/31/2014,13.75,59,57.5,116.5
2/3/2014,13.75,58.5,60.5,119
2/11/2014,13.75,65,50.25,115.25
2/13/2014,13.5,72.5,46,118.5
2/16/2014,12.25,70.75,56.25,127
2/18/2014,11.75,67.25,51.5,118.5
2/20/2014,11.5,67.5,47.5,115.25
2/24/2014,11.75,61,52,113
2/25/2014,11.75,55.75,52.75,108.5
2/27/2014,12,56.75,43.5,100.5
2/28/2014,12,57.25,54.75,112
3/3/2014,12,55,60.5,115.5
3/4/2014,11.75,62.25,61,123.25
3/6/2014,11.75,66,52.5,118.5
3/8/2014,11.75,66.5,64.25,130.5
3/10/2014,11.75,68.25,49.25,117.5
3/11/2014,11.75,71.5,40.75,112.25
3/13/2014,11.75,70.25,37.5,107.75
3/15/2014,12,71.25,49.5,120.5
3/17/2014,12,71.5,39.5,111.25
3/18/2014,12,71.25,41.5,112.75
3/20/2014,12,70.75,48.5,119.25
3/22/2014,12,66.25,57.25,123.5
3/24/2014,11.75,68.75,48.25,117
3/25/2014,12,72.5,48.75,121.25
3/27/2014,11.75,73.75,51.75,125.5
3/29/2014,12,67.75,57.5,125.25
3/31/2014,11.75,69,54.75,123.75
4/1/2014,12,68,58.25,126.25
4/7/2014,12,63.5,56.25,119.75
4/8/2014,12.25,57.5,58.5,116
4/9/2014,12,56,56.5,112.5
4/12/2014,12.25,57.75,59.25,117
4/14/2014,12.25,55.5,66,121.5
4/15/2014,12.25,56.5,74,130.5
4/16/2014,12.25,60.75,79.75,140.5
4/19/2014,12.5,66.25,81.5,147.5
4/21/2014,12.5,66.75,76,142.75
4/22/2014,12.5,65.25,65.25,130.5
4/23/2014,12.25,63,61.75,124.75
4/26/2014,12.25,68.25,47.5,115.5
4/28/2014,12.25,68.25,46.25,114.5
4/30/2014,12,65.75,55.5,121.25
5/1/2014,12.25,64.75,65.5,130.25
5/3/2014,12.5,64,69.75,133.75
5/6/2014,12.5,63.25,74.5,137.75
5/13/2014,12.5,63,75.25,138.25
5/14/2014,12.75,65.75,74.5,140.25
5/15/2014,12.75,69.75,73.25,143
5/17/2014,13,75.5,67.5,143
5/20/2014,12.75,73.25,76.75,150
5/21/2014,13,75,77,152
5/23/2014,13,75.75,77,152.75
5/25/2014,13.25,76.5,77,153.5
5/28/2014,13,78,76.75,154.75
6/3/2014,13.25,77.5,74,151.5
6/4/2014,12.75,76.25,73.25,149.5
6/5/2014,12.75,79.5,65.5,144.75
6/7/2014,12.75,79.75,66,145.75
6/10/2014,13.75,79.75,66,145.75
6/11/2014,14,81.75,67.25,149
6/18/2014,14,83.5,67.5,150.75
6/19/2014,14.25,82.75,69.75,152.5
6/22/2014,15.25,84.75,64.5,149.25
6/24/2014,14,85.5,62.25,147.75
6/25/2014,13.75,85,62.5,147.75
6/27/2014,13.5,85,62.5,147.5
6/28/2014,13,83,66.5,149.75
7/6/2014,12,85,62.25,147
7/8/2014,12.5,85.25,63,148.25
7/9/2014,12.25,87.75,56.5,144.5
7/10/2014,12.5,88.5,57.25,145.75
7/13/2014,12.75,88.75,55.25,144
7/15/2014,13,88,58,146
7/16/2014,13.25,88.25,58,146.25
7/17/2014,13.75,85.5,65.5,151
7/19/2014,14.25,87.75,56.75,144.5
7/21/2014,14.25,87.5,59,146.5
7/24/2014,14.5,84.5,66,150.5
7/26/2014,14.5,82.5,68,150.5
7/27/2014,14.5,85,58.5,143.5
7/30/2014,14.5,85.5,57.5,143
7/31/2014,14.5,89,48.5,137.5
8/2/2014,14.5,91.5,38,129.5
8/6/2014,14.75,94.75,32.25,126.75
8/8/2014,14.25,95.75,32,127.75
8/8/2014,14.5,95,33,128
8/14/2014,14.75,92.25,41.5,133.75
8/16/2014,14.75,93,43.25,136.25
8/18/2014,14.5,92.75,43.5,136.5
8/19/2014,14.5,91.5,46,137.5
8/21/2014,14.5,88.5,54.25,142.75
8/24/2014,14.5,90.75,47.75,138.5
8/25/2014,14.5,89.5,50.5,140.25
8/26/2014,14.75,88.5,54.5,143
8/29/2014,14.75,87.25,57.5,144.5
8/30/2014,15,89.5,51.5,141
9/1/2014,15.25,88.25,53.5,141.75
9/2/2014,15,87.75,54,141.75
9/4/2014,14.75,87,54.5,141.5
9/6/2014,15.25,89,50,139
