Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-09-07 18:46:53,Walking,,6.96,2:24:32,20:46,2.89,441.0,134.27,120,"Max 157. Hrm died a lot",2014-09-07-1846.gpx
2014-09-06 19:45:32,Running,,2.93,44:49,15:19,3.92,197.0,32.77,154,"Max 164",2014-09-06-1945.gpx
2014-09-04 18:30:12,Running,,3.17,44:06,13:56,4.31,227.0,38.24,151,"Max 166. Ate my run >:( So this is entered manually",2014-09-04-1830.gpx
2014-09-02 19:54:52,Running,,2.77,44:06,15:55,3.77,186.0,31.70,153,"Max 162",2014-09-02-1954.gpx
2014-09-01 19:42:50,Running,,2.87,44:25,15:30,3.87,197.0,39.36,149,"Max 160. Tried to keep hr < 154",2014-09-01-1942.gpx
2014-08-31 19:24:05,Walking,,4.64,1:32:34,19:56,3.01,318.0,144.39,120,"Hrm crashed several times",2014-08-31-1924.gpx
2014-08-30 14:00:00,Running,,3.11,44:45,14:23,4.17,217.0,,155,"Ave 155 max 167",
2014-08-29 21:00:03,Running,,3.01,43:34,14:29,4.14,215.0,39.45,155,"Max 168",2014-08-29-2100.gpx
2014-08-26 18:30:36,Running,,2.48,33:30,13:30,4.44,183.0,24.18,,,2014-08-26-1830.gpx
2014-08-25 19:35:12,Running,,3.05,44:14,14:31,4.14,214.0,39.00,161,"Max 173",2014-08-25-1935.gpx
2014-08-24 14:00:00,Running,,2.96,44:42,15:06,3.97,197.0,,158,"max 170. Didn't eat much beforehand. Felt very tired throughout, walked last easy interval",
2014-08-21 08:52:46,Running,,2.92,44:36,15:18,3.92,203.0,49.18,161,,2014-08-21-0852.gpx
2014-08-19 19:27:34,Running,,3.05,43:38,14:19,4.19,213.0,39.27,157,,2014-08-19-1927.gpx
2014-08-18 18:00:00,Running,,3.24,44:52,13:51,4.33,234.0,,,,
2014-08-17 19:03:26,Walking,,0.32,9:19,28:48,2.08,23.0,2.73,,,2014-08-17-1903.gpx
2014-08-16 19:59:28,Running,,2.85,43:37,15:19,3.92,199.0,38.55,,,2014-08-16-1959.gpx
2014-08-14 19:42:10,Running,,3.07,44:18,14:26,4.15,219.0,38.00,155,"Ave 155 max 168",2014-08-14-1942.gpx
2014-08-10 15:04:05,Hiking,,4.52,2:16:44,30:14,1.98,399.0,135.77,131,"Ave 131 max 167",2014-08-10-1504.gpx
2014-08-08 20:14:13,Running,,1.89,26:29,14:00,4.29,138.0,24.98,166,"Ave 166 max 176",2014-08-08-2014.gpx
2014-08-08 19:53:56,Running,,1.19,16:07,13:34,4.42,88.0,11.42,,,2014-08-08-1953.gpx
2014-08-06 19:41:47,Running,,3.22,52:19,16:15,3.69,233.0,41.00,158,"Mid run poop. Max 171",2014-08-06-1941.gpx
2014-08-03 19:25:37,Walking,,4.99,1:46:25,21:20,2.81,325.0,116.82,113,,2014-08-03-1925.gpx
2014-08-02 11:57:15,Running,,3.05,43:35,14:17,4.20,221.0,39.36,164,,2014-08-02-1157.gpx
2014-08-01 19:19:17,Walking,,3.36,1:13:34,21:53,2.74,213.0,60.36,,,2014-08-01-1919.gpx
2014-07-31 08:41:45,Running,,3.06,44:25,14:31,4.13,216.0,41.73,,,2014-07-31-0841.gpx
2014-07-30 08:32:55,Running,,3.14,43:49,13:57,4.30,235.0,53.91,159,"ave 159 max 172",2014-07-30-0832.gpx
2014-07-27 19:45:00,Running,,3.46,48:38,14:03,4.27,250.0,,,"Treadmill. Running portion was 44 minutes, the rest was warmup and cooldownish. Did white plan phase iv day 1: 30E + 6 x ST + 6E. Ave 147 and max 162, but only for last 15 mins (forgot to record before that.) Ave was probably higher, crept up in the first 30 min. Went to like 10:45 on the strides which was really fun! Though right hip hurt some during that",
2014-07-26 10:03:03,Running,,2.81,45:10,16:06,3.73,192.0,15.04,150,"Outside!! So humid. Hard to keep heartrate down, hence the very slow pace. Includes deliberate walking intervals. White plan phase iii day last day. Ave 150 max 165",2014-07-26-1003.gpx
2014-07-25 21:49:26,Walking,,0.00,0:00,,,0.0,0.00,,,2014-07-25-2149.gpx
2014-07-24 17:45:00,Running,,2.23,30:00,13:27,4.46,168.0,,154,"Treadmill! Max 163",
2014-07-21 17:45:20,Running,,4.00,56:47,14:12,4.23,287.0,,150,"Treadmill.  Ave 150 max 166",
2014-07-19 12:00:00,Running,,5.00,1:05:13,13:03,4.60,392.0,,155,"Treadmill. Tried to keep heart rate slow, had to walk a lot. Skeptical of average pace, I thought it was even slower.",
2014-07-17 19:39:08,Running,,4.00,49:34,12:24,4.84,316.0,,,"Treadmill. ",
2014-07-16 17:30:00,Running,,2.00,25:41,12:51,4.67,159.0,,,"Treadmill. Bumped incline up to 1 over the course of the run",
2014-07-15 17:00:00,Running,,3.00,38:03,12:41,4.73,242.0,,,"Treadmill. Went fine",
2014-07-13 14:30:00,Running,,5.00,1:05:00,13:00,4.62,390.0,,,"Treadmill. Ok, kind of tired. Watched ds9",
2014-07-10 09:21:00,Running,,3.00,36:14,12:05,4.97,257.0,,,"Treadmill. Great! Started slow and sped up. Incline 0 for first half, .5 for second half. Had a handful of granola before leaving for work.",
2014-07-09 09:00:00,Running,,1.85,20:43,11:13,5.35,170.0,19.46,,"Merrel. Went great! Felt really good the whole time and afterwards. Had a handful of granola before leaving",2014-07-09-0900.gpx
2014-07-08 08:45:00,Running,,3.00,38:43,12:54,4.65,224.0,,,"Treadmill. Felt like I was going to die. HR 160 at the end. When treadmill stopped briefly felt lightheaded and sounds of the gym sounded very faint. Incline .5",
2014-07-06 20:20:00,Running,,2.09,23:46,11:21,5.29,183.0,0.00,,,2014-07-06-2020.gpx
2014-07-05 21:47:55,Walking,,2.19,52:51,24:08,2.49,192.0,295.60,,,2014-07-05-2147.gpx
2014-07-03 20:56:47,Walking,,2.18,53:44,24:36,2.44,136.0,13.27,,,2014-07-03-2056.gpx
2014-07-02 22:16:21,Walking,,2.31,57:22,24:48,2.42,145.0,13.73,,,2014-07-02-2216.gpx
2014-07-01 20:39:55,Walking,,3.04,57:07,18:47,3.19,223.0,26.82,,,2014-07-01-2039.gpx
2014-06-28 19:12:45,Running,,5.02,1:29:50,17:54,3.35,389.0,105.66,,"Terrible. Almost fainted haha. Vision went yellow, could only see bright lights for a few seconds. Felt very lightheaded. Had to sit down and could barely hear the person who was talking to me. Was sweating a lot and heart was racing, had mild trouble breathing. Felt pretty bad before that too, had taken a couple walking breaks because of crazy beating heart and shortness of breath. I had only had some butternut squash/chicken soup and a chocolate chip cookie, so I think that contributed. Maybe hadn't drunk enough water, though I thought I had. Temp 87.1 °F, heat index 92.8 °F or maybe 95. Hmm, that doesn't actually seem that bad. However, the new boardwalk on the river by 35 is quite nice, I can say that much.",2014-06-28-1912.gpx
2014-06-27 19:05:51,Running,,3.02,41:56,13:53,4.32,254.0,76.18,,,2014-06-27-1905.gpx
2014-06-25 20:27:00,Running,"Asmara Loop with Warmup",3.13,40:00,12:46,4.70,249.0,53.64,,"Knees started hurting toward end, both itb and top. It down poured about a mile away from my car! Got totally soaked. Did 2 short sprints/strides in the middle.",2014-06-25-2027.gpx
2014-06-24 17:22:45,Running,,1.81,26:05,14:23,4.17,141.0,56.06,,"#Merrel
Ran in the mysterious possibly illegal area of the balcones canyonlands. Had to slow down a couple places to cross water. Ran into an old guy with his cute chocolate lab.",2014-06-24-1722.gpx
2014-06-22 18:23:39,Running,,5.01,1:28:20,17:37,3.41,374.0,81.79,,"The run from hell! Forgot my tablet and drove back to get it. Then, dropped it on the run! Fortunately the first people I ran into had found it. It was a million degrees and my knees started hurting bad on the tops. I stopped off to use my go girl and got a billion tiny burrs in my socks and shoes.",2014-06-22-1823.gpx
2014-06-21 08:10:33,Hiking,,4.30,2:20:14,32:39,1.84,400.0,206.76,,,2014-06-21-0810.gpx
2014-06-19 08:50:00,Running,"Asmara Loop with Warmup",3.13,40:00,12:46,4.70,249.0,53.64,,,2014-06-19-0850.gpx
2014-06-18 17:30:00,Running,,1.49,19:30,13:04,4.59,112.0,12.24,,,2014-06-18-1730.gpx
2014-06-17 09:00:00,Running,,1.98,26:00,13:07,4.58,149.0,19.33,,,2014-06-17-0900.gpx
2014-06-15 19:00:00,Running,,3.82,46:00,12:02,4.99,324.0,55.09,,,2014-06-15-1900.gpx
2014-06-13 19:00:00,Running,,2.03,24:06,11:53,5.05,175.0,12.52,,,2014-06-13-1900.gpx
2014-06-11 08:15:00,Running,,2.01,24:00,11:58,5.01,169.0,20.00,,,2014-06-11-0815.gpx
2014-06-10 08:35:00,Running,,3.13,43:00,13:44,4.37,229.0,53.64,,,2014-06-10-0835.gpx
2014-06-07 11:30:00,Running,,2.76,34:00,12:18,4.88,229.0,41.00,,,2014-06-07-1130.gpx
2014-06-05 08:30:00,Running,,2.43,32:00,13:10,4.56,181.0,20.68,,,2014-06-05-0830.gpx
