Date,Type,Value
2014-06-19 12:00:00,nutrition_calories,316.95
2014-06-13 12:00:00,nutrition_calories,323.8
2014-06-19 10:00:00,nutrition_calories,806.5
2014-06-11 12:00:00,nutrition_calories,565.0
2014-07-07 10:00:00,nutrition_calories,345.0
2014-07-10 12:00:00,nutrition_calories,500.0
2014-06-24 08:00:00,nutrition_calories,315.75
2014-07-10 08:00:00,nutrition_calories,342.169525
2014-07-08 17:00:00,nutrition_calories,515.0
2014-07-14 08:00:00,nutrition_calories,354.0
2014-06-23 10:00:00,nutrition_calories,685.75
2014-06-24 17:00:00,nutrition_calories,337.04
2014-06-23 12:00:00,nutrition_calories,413.8
2014-06-13 17:00:00,nutrition_calories,610.0
2014-06-19 08:00:00,nutrition_calories,275.75
2014-07-14 12:00:00,nutrition_calories,695.0
2014-06-17 12:00:00,nutrition_calories,333.8
2014-06-24 10:00:00,nutrition_calories,650.0
2014-06-13 10:00:00,nutrition_calories,675.5
2014-07-08 12:00:00,nutrition_calories,895.128
2014-06-23 17:00:00,nutrition_calories,379.26
2014-07-07 12:00:00,nutrition_calories,370.0
2014-06-17 17:00:00,nutrition_calories,600.0
2014-07-07 17:00:00,nutrition_calories,575.0
2014-07-10 17:00:00,nutrition_calories,300.0
2014-06-11 10:00:00,nutrition_calories,502.5
2014-06-23 08:00:00,nutrition_calories,394.0
2014-06-11 17:00:00,nutrition_calories,376.674
2014-07-09 08:00:00,nutrition_calories,342.169525
2014-07-08 10:00:00,nutrition_calories,170.0
2014-07-10 10:00:00,nutrition_calories,300.0
2014-06-13 08:00:00,nutrition_calories,347.5
2014-06-24 12:00:00,nutrition_calories,337.04
2014-07-09 12:00:00,nutrition_calories,422.5
2014-07-08 08:00:00,nutrition_calories,217.169525
2014-07-07 08:00:00,nutrition_calories,354.0
2014-06-19 17:00:00,nutrition_calories,330.0
2014-06-17 08:00:00,nutrition_calories,275.75
2014-06-17 10:00:00,nutrition_calories,662.5
2014-06-11 08:00:00,nutrition_calories,318.625
2014-07-09 10:00:00,nutrition_calories,515.0
2014-07-14 10:00:00,nutrition_calories,548.625
2014-07-08 00:00:00,weight,51.8909671715153
2013-12-18 04:18:47,weight,50.8931
2014-06-26 00:00:00,weight,50.8930639566784
2014-07-09 00:00:00,weight,51.2559378529828
